2026-07-14 11:49:19,531 [INFO] tokens per iteration will be: 8,192
2026-07-14 11:49:19,531 [INFO] run directory: out/tinystories_flashatt4_ctx256_bs32_20260714_114919
2026-07-14 11:49:19,531 [INFO] Initializing new model with block_size=256
2026-07-14 11:49:20,908 [INFO] model has 123.59M parameters
2026-07-14 11:49:20,910 [INFO] compiling the model...
2026-07-14 11:49:20,911 [INFO] compile time 0.00s
2026-07-14 11:49:26,466 [INFO] step 0: val loss 10.9909
2026-07-14 11:50:08,408 [INFO] iter 139: loss 3.5009, time 181.98ms, mfu 11.07%, tok/s 45,016
2026-07-14 11:50:08,590 [INFO] iter 140: loss 3.5785, time 182.20ms, mfu 11.08%, tok/s 44,961
2026-07-14 11:50:08,773 [INFO] iter 141: loss 3.4756, time 183.14ms, mfu 11.07%, tok/s 44,732
2026-07-14 11:50:08,955 [INFO] iter 142: loss 3.5072, time 182.05ms, mfu 11.08%, tok/s 45,000
2026-07-14 11:50:09,137 [INFO] iter 143: loss 3.5736, time 182.17ms, mfu 11.08%, tok/s 44,970
2026-07-14 11:50:09,319 [INFO] iter 144: loss 3.5855, time 182.03ms, mfu 11.08%, tok/s 45,003
2026-07-14 11:50:09,501 [INFO] iter 145: loss 3.5440, time 181.94ms, mfu 11.08%, tok/s 45,026
2026-07-14 11:50:09,683 [INFO] iter 146: loss 3.4625, time 181.75ms, mfu 11.09%, tok/s 45,072
2026-07-14 11:50:09,866 [INFO] iter 147: loss 3.5988, time 182.85ms, mfu 11.08%, tok/s 44,801
2026-07-14 11:50:10,047 [INFO] iter 148: loss 3.3921, time 181.40ms, mfu 11.09%, tok/s 45,160
2026-07-14 11:50:10,230 [INFO] iter 149: loss 3.4269, time 182.50ms, mfu 11.09%, tok/s 44,889
2026-07-14 11:50:10,412 [INFO] iter 150: loss 3.5476, time 181.94ms, mfu 11.09%, tok/s 45,026
2026-07-14 11:50:10,595 [INFO] iter 151: loss 3.5004, time 183.06ms, mfu 11.09%, tok/s 44,751
2026-07-14 11:50:10,778 [INFO] iter 152: loss 3.5112, time 183.20ms, mfu 11.08%, tok/s 44,715
