2026-07-12 16:41:55,612 [INFO] tokens per iteration will be: 491,520
2026-07-12 16:41:55,612 [INFO] Initializing a new model from scratch
2026-07-12 16:41:55,612 [INFO] defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
2026-07-12 16:41:57,169 [INFO] model has 123.59M parameters
2026-07-12 16:41:57,617 [INFO] compiling the model... (takes a ~minute)
2026-07-12 16:42:28,702 [INFO] step 0: train loss 10.9658, val loss 10.9655, gpu_util n/a%, mem_allocated 0.53GB
2026-07-12 17:09:48,231 [INFO] iter 169: loss 4.4401, time 9672.96ms, mfu 13.92%, tok/s 50,814
2026-07-12 17:09:57,914 [INFO] iter 170: loss 4.4703, time 9678.75ms, mfu 13.92%, tok/s 50,783
2026-07-12 17:10:07,591 [INFO] iter 171: loss 4.5430, time 9675.74ms, mfu 13.92%, tok/s 50,799
2026-07-12 17:10:17,265 [INFO] iter 172: loss 4.4359, time 9678.22ms, mfu 13.92%, tok/s 50,786
2026-07-12 17:10:26,954 [INFO] iter 173: loss 4.4112, time 9688.79ms, mfu 13.92%, tok/s 50,731
2026-07-12 17:10:36,631 [INFO] iter 174: loss 4.3835, time 9672.34ms, mfu 13.92%, tok/s 50,817
2026-07-12 17:10:46,291 [INFO] iter 175: loss 4.4438, time 9666.13ms, mfu 13.92%, tok/s 50,850
2026-07-12 17:10:55,959 [INFO] iter 176: loss 4.3207, time 9665.07ms, mfu 13.92%, tok/s 50,855
2026-07-12 17:11:05,639 [INFO] iter 177: loss 4.2400, time 9673.53ms, mfu 13.92%, tok/s 50,811
2026-07-12 17:11:15,306 [INFO] iter 178: loss 4.3288, time 9672.87ms, mfu 13.92%, tok/s 50,814
2026-07-12 17:11:24,996 [INFO] iter 179: loss 4.3493, time 9691.00ms, mfu 13.92%, tok/s 50,719
2026-07-12 17:11:34,680 [INFO] iter 180: loss 4.3132, time 9681.91ms, mfu 13.92%, tok/s 50,767
2026-07-12 17:11:44,360 [INFO] iter 181: loss 4.1748, time 9677.44ms, mfu 13.92%, tok/s 50,790
2026-07-12 17:11:54,043 [INFO] iter 182: loss 4.1769, time 9690.38ms, mfu 13.92%, tok/s 50,722
2026-07-12 17:12:03,727 [INFO] iter 183: loss 4.2482, time 9679.38ms, mfu 13.91%, tok/s 50,780
2026-07-12 17:12:13,409 [INFO] iter 184: loss 4.2412, time 9680.39ms, mfu 13.91%, tok/s 50,775
2026-07-12 17:12:23,088 [INFO] iter 185: loss 4.2198, time 9683.52ms, mfu 13.91%, tok/s 50,758
2026-07-12 17:12:32,769 [INFO] iter 186: loss 4.2544, time 9674.15ms, mfu 13.91%, tok/s 50,808
2026-07-12 17:12:42,455 [INFO] iter 187: loss 4.1742, time 9689.63ms, mfu 13.91%, tok/s 50,726
2026-07-12 17:12:52,130 [INFO] iter 188: loss 4.2260, time 9677.57ms, mfu 13.91%, tok/s 50,790
2026-07-12 17:13:01,816 [INFO] iter 189: loss 4.1536, time 9684.85ms, mfu 13.91%, tok/s 50,751
2026-07-12 17:13:11,496 [INFO] iter 190: loss 4.2035, time 9675.88ms, mfu 13.91%, tok/s 50,798
2026-07-12 17:13:21,169 [INFO] iter 191: loss 4.1297, time 9677.99ms, mfu 13.91%, tok/s 50,787
2026-07-12 17:13:30,832 [INFO] iter 192: loss 4.0746, time 9661.74ms, mfu 13.91%, tok/s 50,873
2026-07-12 17:13:40,512 [INFO] iter 193: loss 4.2490, time 9676.82ms, mfu 13.92%, tok/s 50,794
